Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,ELEVATION (M),CUMALTIVE ELEVATION (M),Train 1 Arrival Time at Station,Train 2 Arrival Time at Station,Train 3 Arrival Time at Station,Train 4 Arrival Time at Station,Train 5 Arrival Time at Station,Train 6 Arrival Time at Station,Train 7 Arrival Time at Station,Train 8 Arrival Time at Station,Train 9 Arrival Time at Station,Train 10 Arrival Time at Station
Green,A,1,100,0.5,55,,0.5,0.5,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30
Green,A,2,100,1,55,STATION; PIONEER,1,1.5,12:04,12:34,13:04,13:34,14:04,14:34,15:04,15:34,16:04,16:34
Green,A,3,100,1.5,55,,1.5,3,,,,,,,,,,
Green,B,4,100,2,55,,2,5,,,,,,,,,,
Green,B,5,100,3,55,,3,8,,,,,,,,,,
Green,B,6,100,4,55,,4,12,,,,,,,,,,
Green,C,7,100,5,55,,5,17,,,,,,,,,,
Green,C,8,100,0,55,,0,17,,,,,,,,,,
Green,C,9,100,-5,55,STATION; EDGEBROOK,-5,12,12:01,12:31,13:01,13:31,14:01,14:31,15:01,15:31,16:01,16:31
Green,C,10,100,-5,55,,-5,7,,,,,,,,,,
Green,C,11,100,-4,55,,-4,3,,,,,,,,,,
Green,C,12,100,-3,55,SWITCH,-3,0,,,,,,,,,,
Green,D,13,150,0,70,,0,0,,,,,,,,,,
Green,D,14,150,0,70,,0,0,,,,,,,,,,
Green,D,15,150,0,70,,0,0,,,,,,,,,,
Green,D,16,150,0,70,STATION,0,0,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38
Green,E,17,150,0,60,,0,0,,,,,,,,,,
Green,E,18,150,0,60,,0,0,,,,,,,,,,
Green,E,19,150,0,60,,0,0,,,,,,,,,,
Green,E,20,150,0,60,,0,0,,,,,,,,,,
Green,F,21,300,0,70,,0,0,,,,,,,,,,
Green,F,22,300,0,70,STATION; WHITED,0,0,12:12,12:42,13:12,13:42,14:12,14:42,15:12,15:42,16:12,16:42
Green,F,23,300,0,70,,0,0,,,,,,,,,,
Green,F,24,300,0,70,,0,0,,,,,,,,,,
Green,F,25,200,0,70,,0,0,,,,,,,,,,
Green,F,26,100,0,70,,0,0,,,,,,,,,,
Green,F,27,50,0,70,,0,0,,,,,,,,,,
